رقم السورة	اسم السورة	مواضع نهاية الركوعات العربية مختصر ع ع لون اخضر زمردي (أرقام الآيات التي ينتهي عندها الركوع)
48	الفتح	10، 17، 26، 29 (نهاية السورة)
49	الحجرات	10، 18 (نهاية السورة)
50	ق	15، 35، 45 (نهاية السورة)
51	الذاريات	23، 46، 60 (نهاية السورة)
52	الطور	28، 49 (نهاية السورة)
53	النجم	25، 32، 62 (نهاية السورة)
54	القمر	22، 40 Block، 55 (نهاية السورة)
55	الرحمن	25، 45، 78 (نهاية السورة)
56	الواقعة	38، 74، 96 (نهاية السورة)
57	الحديد	10، 19، 25، 29 (نهاية السورة)
58	المجادلة	10، 13، 22 (نهاية السورة)
59	الحشر	10، 17، 24 (نهاية السورة)
60	الممتحنة	9، 13 (نهاية السورة)
61	الصف	9، 14 (نهاية السورة)
62	الجمعة	8، 11 (نهاية السورة)
63	المنافقون	8، 11 (نهاية السورة)
64	التغابن	10، 18 (نهاية السورة)
65	الطلاق	7، 12 (نهاية السورة)
66	التحريم	7، 12 (نهاية السورة)
67	الملك	14، 30 (نهاية السورة)
68	القلم	33، 52 (نهاية السورة)
69	الحاقة	37، 52 (نهاية السورة)
70	المعارج	35، 44 (نهاية السورة) (التي دققناها سابقاً)
71	نوح	20، 28 (نهاية السورة) (التي دققناها سابقاً)
72	الجن	19، 28 (نهاية السورة) (التي دققناها سابقاً)
73	المزمل	19، 20 (نهاية السورة)
74	المدثر	31، 56 (نهاية السورة)
75	القيامة	25، 40 (نهاية السورة)
76	الإنسان	22، 31 (نهاية السورة)
77	المرسلات	28، 50 (نهاية السورة)
78	النبأ	30، 40 (نهاية السورة)
79	النازعات	26، 46 (نهاية السورة)
80	عبس	42 (نهاية السورة)
81	التكوير	29 (نهاية السورة)
82	الانفطار	19 (نهاية السورة)
83	المطففين	36 (نهاية السورة)
84	الانشقاق	25 (نهاية السورة)
85	البروج	22 (نهاية السورة)
86	الطارق	17 (نهاية السورة)
87	الأعلى	19 (نهاية السورة)
88	الغاشية	26 (نهاية السورة)
89	الفجر	30 (نهاية السورة)
90	البلد	20 (نهاية السورة)
91	الشمس	15 (نهاية السورة)
92	الليل	21 (نهاية السورة)
93	الضحى	11 (نهاية السورة)
94	الشرح	8 (نهاية السورة)
95	التين	8 (نهاية السورة)
96	العلق	19 (نهاية السورة)
97	القدر	5 (نهاية السورة)
98	البينة	8 (نهاية السورة)
99	الزلزلة	8 (نهاية السورة)
100	العاديات	11 (نهاية السورة)
101	القارعة	11 (نهاية السورة)
102	التكاثر	8 (نهاية السورة)
103	العصر	3 (نهاية السورة)
104	الهمزة	9 (نهاية السورة)
105	الفيل	5 (نهاية السورة)
106	قريش	4 (نهاية السورة)
107	الماعون	7 (نهاية السورة)
108	الكوثر	3 (نهاية السورة)
109	الكافرون	6 (نهاية السورة)
110	النصر	3 (نهاية السورة)
111	المسد	5 (نهاية السورة)
112	الإخلاص	4 (نهاية السورة)
113	الفلق	5 (نهاية السورة)
114	الناس	6 (نهاية السورة)
